deal_id,customer_name,sales_rep,amount_usd,stage,created_date,expected_close_date,last_activity_date,days_in_stage,num_emails,num_calls,num_meetings,stakeholder_count,economic_buyer_engaged,proposal_sent,close_date_changes,customer_response_days,engagement_trend,notes,historical_stage_win_rate,weighted_revenue_usd,risk_score,risk_level
D136,BluePeak Systems 136,Rohan,75000,Discovery,2026-06-02,2026-10-24,2026-09-08,20,7,2,4,4,True,False,1,1,stable,Customer requested a timeline for final decision.,0.15,11250.0,0,Low
D137,Apex Mobility 137,Meera,25000,Discovery,2026-06-12,2026-09-16,2026-09-06,6,12,4,5,2,True,False,1,3,stable,Champion is active and buyer is engaged.,0.15,3750.0,0,Low
D138,Evergreen Energy 138,Kabir,25000,Demo,2026-08-08,2026-10-14,2026-09-02,27,6,2,2,3,False,False,2,7,declining,Expected close date has moved more than once and the customer needs additional internal approval.,0.3,7500.0,55,Medium
D139,Northstar Analytics 139,Arjun,250000,Demo,2026-04-23,2026-11-05,2026-08-19,39,2,0,0,1,True,False,1,18,declining,Customer has gone quiet; follow-up attempts have not received a response.,0.3,75000.0,60,High
D140,Summit Logistics 140,Meera,150000,Demo,2026-06-19,2026-09-29,2026-09-05,17,12,5,2,4,True,False,1,2,stable,Customer requested a timeline for final decision.,0.3,45000.0,0,Low
D141,Vertex Retail 141,Arjun,75000,Proposal,2026-06-12,2026-09-27,2026-08-20,44,1,1,1,1,False,True,2,9,declining,Customer has gone quiet; follow-up attempts have not received a response.,0.55,41250.0,100,High
D142,BluePeak Systems 142,Anaya,150000,Demo,2026-04-14,2026-10-17,2026-08-23,46,2,0,2,2,False,False,3,10,declining,Customer has gone quiet; follow-up attempts have not received a response.,0.3,45000.0,100,High
D143,Maple Commerce 143,Arjun,125000,Discovery,2026-04-02,2026-10-23,2026-09-10,20,8,5,5,2,True,False,0,1,stable,Customer requested a timeline for final decision.,0.15,18750.0,0,Low
D144,Summit Logistics 144,Ishita,75000,Discovery,2026-05-02,2026-11-10,2026-09-05,22,5,2,1,1,False,False,1,8,stable,"Champion is engaged, but the economic buyer has not joined the process.",0.15,11250.0,40,Medium
D145,Apex Mobility 145,Aarav,200000,Demo,2026-04-16,2026-09-22,2026-09-07,18,7,4,1,2,True,False,0,1,stable,Champion is active and buyer is engaged.,0.3,60000.0,0,Low
D146,Cedar Health 146,Arjun,250000,Negotiation,2026-04-16,2026-10-09,2026-08-24,54,2,0,2,1,False,True,1,14,declining,Customer has gone quiet; follow-up attempts have not received a response.,0.75,187500.0,80,High
D147,BluePeak Systems 147,Kabir,150000,Negotiation,2026-05-21,2026-11-03,2026-09-04,12,7,1,1,2,True,True,1,4,stable,Customer is engaged and reviewing next steps.,0.75,112500.0,0,Low
D148,BluePeak Systems 148,Meera,150000,Demo,2026-04-13,2026-10-22,2026-09-04,14,7,3,3,4,True,False,0,1,stable,Champion is active and buyer is engaged.,0.3,45000.0,0,Low
D149,Vertex Retail 149,Aarav,40000,Proposal,2026-08-12,2026-09-30,2026-09-04,16,5,3,5,2,True,True,0,1,stable,Strong meeting participation; decision process is clear.,0.55,22000.0,0,Low
D150,Silverline Media 150,Kabir,40000,Negotiation,2026-06-20,2026-11-06,2026-09-04,37,2,2,1,2,False,True,1,9,stable,"Champion is engaged, but the economic buyer has not joined the process.",0.75,30000.0,40,Medium
